Nr;Verarbeitungstaetigkeit;Gruppe;Zweck;Betroffene Personen;Datenkategorien;Rechtsgrundlage;Empfaenger;Drittlandtransfer;Loeschfrist;TOM-Verweis
11;Automatisierte Kampagnen / KI-gestuetzte Ansprache;II. Active Sourcing und Vertrieb;Skalierte Kandidaten- oder Kundenansprache, Lead-Generierung;Potenzielle Kandidaten, potenzielle Kunden;Profildaten, Interaktionsdaten, Reaktionsdaten, Nachrichtenverlaeufe;Art. 6 Abs. 1 lit. f DSGVO, ggf. Art. 22 DSGVO;Plattformbetreiber, Automatisierungstool-Anbieter;USA (Plattformen);Bei Kampagnenende: 6 Monate, bei Widerspruch: unverzueglich;Ueberwachung automatisierter Prozesse, Opt-out-Mechanismus
12;Lead-Management (Kundengewinnung);II. Active Sourcing und Vertrieb;Gewinnung neuer Unternehmenskunden, Vertriebssteuerung;Ansprechpartner potenzieller Kunden;Ansprechpartnerdaten, Unternehmensdaten, Kommunikationshistorie, Vertriebsnotizen;Art. 6 Abs. 1 lit. f DSGVO;Interne Vertriebsmitarbeiter, CRM-Anbieter;Abhaengig von CRM-Hosting;Bei fehlender Geschaeftsbeziehung: 12 Monate;Zugriffsbeschraenkung, Dokumentation berechtigtes Interesse
13;Vertragsmanagement (Kunden);III. Kundenmanagement;Abschluss und Verwaltung von Vermittlungsvertraegen;Ansprechpartner Kundenunternehmen;Ansprechpartnerdaten, Vertragsdaten, Unterschriften, Kommunikationsverlauf;Art. 6 Abs. 1 lit. b DSGVO;Kundenunternehmen, Steuerberater;Nicht regelmaessig;10 Jahre nach Vertragsende (HGB/AO);Verschluesselung, Zugriffsbeschraenkung, Archivierungskonzept
14;Projektmanagement (Recruiting-Mandate);III. Kundenmanagement;Steuerung laufender Recruiting-Mandate, Statusverfolgung;Kandidaten, Kundenansprechpartner, interne Mitarbeiter;Projektstatus, Kandidatenzuordnung, Kundenfeedback, Zeitplaene;Art. 6 Abs. 1 lit. b DSGVO;Interne Mitarbeiter, Kundenunternehmen;Abhaengig von Cloud-Anbieter;6 Monate nach Projektabschluss (operativ), 10 Jahre (abrechnungsrelevant);Projektbezogene Zugriffsbeschraenkung
15;Reporting an Kunden;III. Kundenmanagement;Statusberichte zu Recruiting-Projekten;Kandidaten (anonymisiert/pseudonymisiert), Kundenansprechpartner;Kandidatenstatus (aggregiert), Projektkennzahlen;Art. 6 Abs. 1 lit. b DSGVO;Kundenunternehmen;Nur bei internationalen Kunden;10 Jahre (vertragsrelevant);Pseudonymisierung in Reports, verschluesselte Uebertragung
16;Rechnungsstellung;IV. Administration und Organisation;Abrechnung von Vermittlungsleistungen, Provisionsabrechnungen;Kunden, ggf. vermittelte Kandidaten (Honorarrelevanz);Rechnungsdaten, Bankdaten, Vertragsinformationen, Leistungszeitraeume;Art. 6 Abs. 1 lit. b DSGVO, Art. 6 Abs. 1 lit. c DSGVO;Kunden, Steuerberater, Bank;Nicht regelmaessig;10 Jahre (HGB/AO);Zugriffsschutz, Verschluesselung, Berechtigungsmanagement
17;Finanzbuchhaltung;IV. Administration und Organisation;Erfuellung steuerlicher Pflichten, Zahlungsabwicklung;Kunden, Lieferanten, Mitarbeiter;Zahlungsdaten, steuerrelevante Informationen, Kontoauszuege, Belege;Art. 6 Abs. 1 lit. c DSGVO (gesetzliche Pflicht);Steuerberater, Finanzbehoerden, Bank;Nicht regelmaessig;10 Jahre (HGB § 257, AO § 147);Zugriffsschutz, Verschluesselung, Vier-Augen-Prinzip
18;Interne Kommunikation und Projektmanagement;IV. Administration und Organisation;Interne Abstimmung, Aufgabenverwaltung, Wissensmanagement;Interne Mitarbeiter, ggf. Kandidaten;Kandidateninformationen, Projektnotizen, Aufgabenlisten, Meeting-Protokolle;Art. 6 Abs. 1 lit. f DSGVO, § 26 BDSG;Interne Mitarbeiter, Cloud-Anbieter;Ggf. USA (Cloud-Dienste);Projektbezogen, Archivierung nach gesetzlichen Vorgaben;Zugriffsbeschraenkung, kanalbasierte Berechtigungen
19;Terminverwaltung;IV. Administration und Organisation;Koordination von Interviews und Gespraechen, automatisierte Terminbuchung;Bewerber, Kandidaten, Kundenansprechpartner;Name, E-Mail-Adresse, Telefonnummer, Terminpraeferenzen;Art. 6 Abs. 1 lit. b DSGVO, Art. 6 Abs. 1 lit. f;Interne Mitarbeiter, Terminbuchungs-Anbieter;Ggf. USA (Cloud-Dienste);6 Monate nach dem Termin;Automatisierte Terminloeschung, Zugriffsbeschraenkung
20;Telefonkommunikation;IV. Administration und Organisation;Telefonische Abstimmung mit Kandidaten und Kunden;Bewerber, Kandidaten, Kunden;Telefonnummern, Verbindungsdaten (Metadaten), Gespraechsvermerke;Art. 6 Abs. 1 lit. b DSGVO, Art. 6 Abs. 1 lit. f;Interne Mitarbeiter, TK-Provider;In der Regel EU;Verbindungsdaten: 6 Monate, Gespraechsnotizen: siehe Bewerbermanagement;Verschluesselte Telefonie, Zugriffsbeschraenkung
21;Veroeffentlichung von Stellenanzeigen;V. Marketing und Oeffentlichkeitsarbeit;Gewinnung geeigneter Bewerber, Reichweitenaufbau;Ansprechpartner (in Anzeigen), Bewerber (nach Eingang);Ansprechpartnerdaten, Unternehmensdaten, Stellenbeschreibungen;Art. 6 Abs. 1 lit. f DSGVO;Oeffentlichkeit, Plattformbetreiber;USA (Business-Netzwerke);Nach Besetzung der Stelle;Pruefung vor Veroeffentlichung, Entfernung nach Besetzung
22;Social-Media-Marketing;V. Marketing und Oeffentlichkeitsarbeit;Reichweitenaufbau, Employer Branding, Kandidaten- und Kundengewinnung;Follower, interagierende Nutzer, ggf. dargestellte Mitarbeiter;Profilinformationen, Interaktionsdaten, ggf. Mitarbeiterfotos;Art. 6 Abs. 1 lit. f DSGVO, Einwilligung bei Mitarbeiterfotos;Plattformbetreiber, Oeffentlichkeit;USA (Plattformen);Bei Entfernung des Beitrags;Social-Media-Richtlinie, Admin-Zugang, Einwilligungsmanagement
23;Newsletter;V. Marketing und Oeffentlichkeitsarbeit;Information ueber offene Positionen, Marktberichte;Abonnenten;E-Mail-Adresse, Name, Einwilligungsnachweis, Oeffnungs-/Klickraten;Art. 6 Abs. 1 lit. a DSGVO, § 7 Abs. 2 UWG;Newsletter-Dienstleister;Je nach Anbieter;Bei Abmeldung: unverzueglich;Double-Opt-in, Abmeldemoeglichkeit in jedem Newsletter
24;Website-Betrieb und Tracking;V. Marketing und Oeffentlichkeitsarbeit;IT-Sicherheit, Reichweitenanalyse, Website-Optimierung;Website-Besucher;IP-Adresse, Logfiles, Cookie-Daten, Nutzungsdaten, Geraeteinformationen;Art. 6 Abs. 1 lit. f (IT-Sicherheit), § 25 TTDSG, Art. 6 Abs. 1 lit. a (Analyse);Hosting-Provider, ggf. Analyse-Dienstleister;Je nach Hosting und Analyse-Tools;Logfiles: 7-14 Tage, Analyse: gemaess Cookie-Richtlinie;Cookie-Consent-Banner, IP-Anonymisierung, Logrotation
25;KI-gestuetzte Texterstellung (Stellenanzeigen);VI. Einsatz von KI-Systemen;Erstellung und Optimierung von Stellenausschreibungen;Keine direkten Betroffenen (anonymisierte Eingaben);Ausschliesslich anonymisierte Stellenbeschreibungen;Art. 6 Abs. 1 lit. f DSGVO;KI-Anbieter;USA (KI-Anbieter) - SCC/DPF;Nicht anwendbar (keine pbD);KI-Richtlinie, Verbot personenbezogener Eingaben, Schulung
26;KI-gestuetzte Textoptimierung Kandidatenprofile;VI. Einsatz von KI-Systemen;Professionelle Aufbereitung fuer Kunden, sprachliche Optimierung;Bewerber (nur anonymisiert);Anonymisierte Qualifikationsprofile, keine identifizierenden Merkmale;Art. 6 Abs. 1 lit. f DSGVO;KI-Anbieter;USA;Nicht anwendbar bei vollstaendiger Anonymisierung;Verpflichtende Anonymisierung, KI-Richtlinie, Stichprobenkontrollen
27;Automatisierte Nachrichtenerstellung;VI. Einsatz von KI-Systemen;Effizienzsteigerung bei Anspracheprozessen;Potenzielle Kandidaten, Kunden;Anonymisierte Kontextdaten, Nachrichtenvorlagen;Art. 6 Abs. 1 lit. f DSGVO;KI-Anbieter, Automatisierungstool;USA;Vorlagen: unbegrenzt, Ergebnisse: nach Verwendung;KI-Richtlinie, keine pbD in Prompts
28;Mitarbeiterverwaltung (internes Personal);VII. Personalverwaltung;Durchfuehrung von Arbeitsverhaeltnissen, Personalplanung;Eigene Mitarbeiter, freie Mitarbeiter;Stammdaten, Gehaltsdaten, SV-Daten, Arbeitsvertragsdaten, Leistungsbeurteilungen, Urlaubsdaten, Krankmeldungen;§ 26 BDSG, Art. 6 Abs. 1 lit. b DSGVO, Art. 6 Abs. 1 lit. c;Steuerberater, SV-Traeger, Finanzbehoerden;Nicht regelmaessig;Steuerrelevant: 10 Jahre, Personalakte: 3 Jahre nach Ausscheiden, Krankmeldungen: 1 Jahr;Zugriffsbeschraenkung (nur GF/HR), Verschluesselung
29;Gehaltsabrechnung;VII. Personalverwaltung;Monatliche Lohn- und Gehaltsabrechnung, Meldepflichten;Eigene Mitarbeiter;Gehaltsdaten, Steuerklasse, SV-Nummer, Bankverbindung, Steuer-ID;§ 26 BDSG, Art. 6 Abs. 1 lit. c DSGVO;Steuerberater, SV-Traeger, Finanzbehoerden, Bank;Nicht regelmaessig;10 Jahre (steuerrechtlich);Zugriffsschutz, Vier-Augen-Prinzip, Verschluesselung
30;IT-Account-Verwaltung;VII. Personalverwaltung;Verwaltung von Benutzerkonten, Zugriffskontrolle, IT-Sicherheit;Eigene Mitarbeiter;Benutzername, E-Mail-Adresse, Berechtigungen, Zugriffsprotokolle;Art. 6 Abs. 1 lit. f DSGVO, § 26 BDSG;IT-Dienstleister, Cloud-Admin;Ggf. USA (Cloud-Dienste);Unverzueglich nach Ausscheiden;2FA, Passwortrichtlinien, regelmaessige Berechtigungspruefung
31;Bearbeitung von Betroffenenanfragen;VIII. Datenschutz und Compliance;Erfuellung von Betroffenenrechten (Auskunft, Loeschung, Berichtigung, Widerspruch);Alle betroffenen Personen;Identitaetsnachweis, Antragsinhalt, Kommunikationsverlauf, Dokumentation der Massnahmen;Art. 15-22 DSGVO, Art. 6 Abs. 1 lit. c DSGVO;Datenschutzbeauftragter, betroffene Person;Nicht regelmaessig;3 Jahre nach Abschluss (Nachweiszwecke);Authentifizierungsverfahren, Fristenkontrolle (1 Monat)
32;Dokumentation von Einwilligungen;VIII. Datenschutz und Compliance;Nachweis der Einwilligungserteilung, Verwaltung von Widerrufen;Bewerber (Talentpool), Newsletter-Abonnenten, Mitarbeiter (Fotos);Zeitpunkt der Einwilligung, Inhalt, Widerrufsdatum, Kommunikationskanal;Art. 7 Abs. 1 DSGVO (Nachweispflicht);Datenschutzbeauftragter, Aufsichtsbehoerde (bei Pruefung);Nicht regelmaessig;3 Jahre nach Widerruf (Nachweiszwecke);Revisionssichere Speicherung, automatisierte Widerrufverarbeitung
33;Datenschutzvorfall-Management;VIII. Datenschutz und Compliance;Erkennung, Dokumentation und Meldung von Datenschutzverletzungen;Alle potenziell betroffenen Personen;Vorfalldaten, betroffene Datenkategorien, Schadenseinschaetzung, ergriffene Massnahmen;Art. 33/34 DSGVO, Art. 6 Abs. 1 lit. c DSGVO;DSB, Aufsichtsbehoerde (bei meldepflichtigem Vorfall), Betroffene (bei hohem Risiko);Nicht regelmaessig;3 Jahre nach Abschluss des Vorfalls;Incident-Response-Prozess, 72-Stunden-Meldefrist, Eskalationsverfahren
