Nr;TOM-Kategorie;Massnahme;Konkrete Umsetzung MAROLD;Betroffene Systeme;Rechtsgrundlage;Pruefintervall;Verantwortlich;Status
27;Auftragskontrolle;AVV Sipgate;AVV mit Sipgate abschliessen;Sipgate;Art. 28 DSGVO;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] Pruefen
28;Auftragskontrolle;AVV File Station;AVV mit File Station Anbieter abschliessen;File Station;Art. 28 DSGVO;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] Pruefen
29;Auftragskontrolle;AVV Canva;AVV mit Canva abschliessen (Data Processing Addendum);Canva;Art. 28 DSGVO;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] Pruefen
30;Auftragskontrolle;AVV Compleady;AVV mit Compleady abschliessen, Drittlandstatus klaeren;Compleady;Art. 28 DSGVO;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] Pruefen
31;Auftragskontrolle;AVV OpenAI (ChatGPT);AVV/DPA mit OpenAI abschliessen (Business Terms);ChatGPT;Art. 28 DSGVO;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] Pruefen
32;Auftragskontrolle;AVV DATEV;AVV mit DATEV bzw. Steuerberater abschliessen;DATEV;Art. 28 DSGVO;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] Pruefen
33;Auftragskontrolle;AVV WordPress Hosting;AVV mit WordPress Hosting-Provider abschliessen;WordPress;Art. 28 DSGVO;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] Pruefen
34;Verfuegbarkeitskontrolle;M365 Backup;Microsoft 365 automatisches Backup (Exchange, SharePoint, OneDrive);Microsoft 365;Art. 32 Abs. 1 lit. c;Taeglich;Cloud/IT;[ ] Umgesetzt
35;Verfuegbarkeitskontrolle;Hunter CRM Backup;Hunter CRM automatische Datensicherung durch Anbieter;Hunter CRM;Art. 32 Abs. 1 lit. c;Taeglich;Hunter-Anbieter;[ ] Pruefen
36;Verfuegbarkeitskontrolle;Virenschutz;Microsoft Defender auf allen Windows-Arbeitsplaetzen;Alle Arbeitsplaetze;Art. 32 Abs. 1 lit. c;Laufend;IT-Verantwortlicher;[ ] Umgesetzt
37;Verfuegbarkeitskontrolle;Windows Updates;Automatische Windows-Updates aktiviert, monatliche Pruefung;Alle Arbeitsplaetze;Art. 32 Abs. 1 lit. c;Monatlich;IT-Verantwortlicher;[ ] Umgesetzt
38;Verfuegbarkeitskontrolle;Notfallplan;Dokumentierter IT-Notfallplan fuer Ausfall M365, Hunter, Sipgate;Alle Systeme;Art. 32 Abs. 1 lit. c;Jaehrlich;IT-Verantwortlicher/GF;[ ] Erstellen
39;Trennungsgebot;Projekttrennung Hunter;Recruiting-Projekte in Hunter sind mandantengetrennt;Hunter CRM;Art. 32 Abs. 1 lit. b;Laufend;Recruiter;[ ] Umgesetzt
40;Trennungsgebot;Teams-Kanaltrennung;Separate Teams-Kanaele pro Recruiting-Projekt;Microsoft Teams;Art. 32 Abs. 1 lit. b;Pro Projekt;Recruiter;[ ] Umgesetzt
41;Organisatorisch;Datenschutzschulungen;Jaehrliche Schulung aller MAROLD-Mitarbeiter durch DSB Prof. Dr. Dehnert;Alle;Art. 39 Abs. 1 lit. b;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] Planen
42;Organisatorisch;Vertraulichkeitsverpflichtung;Schriftliche Verpflichtung aller MA auf Vertraulichkeit bei Eintritt;Alle;Art. 32 Abs. 4;Bei Eintritt;GF;[ ] Umgesetzt
43;Organisatorisch;KI-Richtlinie MAROLD;Richtlinie fuer ChatGPT-Nutzung: keine pbD, nur anonymisiert;ChatGPT;Art. 32;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] In Kraft setzen
44;Organisatorisch;Social-Media-Richtlinie;Regelungen fuer LinkedIn/Xing Nutzung im Recruiting;LinkedIn, Xing;Art. 32;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] In Kraft setzen
45;Organisatorisch;Loeschkonzept MAROLD;Dokumentierte Loeschfristen je Datenkategorie, Routinen in Hunter;Hunter CRM, M365;Art. 17;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] Einrichten
46;Organisatorisch;Incident-Response MAROLD;Meldekette: MA -> GF -> DSB Prof. Dr. Dehnert -> Aufsichtsbehoerde (72h);Alle;Art. 33/34;Jaehrlich;DSB Prof. Dr. Dehnert/GF;[ ] Dokumentieren
47;Organisatorisch;Betroffenenrechte-Prozess;Eingang: marold@marold.de, Weiterleitung an DSB, Bearbeitung innerhalb 1 Monat;Outlook, Hunter;Art. 12-22;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] Dokumentieren
