Nr;Verarbeitungstaetigkeit;Gruppe;Zweck;Betroffene Personen;Datenkategorien;Rechtsgrundlage;Empfaenger;Eingesetzte Systeme MAROLD;Drittlandtransfer;Drittland-Absicherung;Loeschfrist;TOM-Verweis
11;Automatisierte Kampagnen (Compleady);II. Active Sourcing und Vertrieb;Skalierte LinkedIn-Ansprache, Lead-Generierung;Potenzielle Kandidaten/Kunden;Profildaten, Interaktionsdaten, Reaktionen;Art. 6 Abs. 1 lit. f, ggf. Art. 22 DSGVO;LinkedIn, Compleady;Compleady, LinkedIn;USA (LinkedIn), Compleady: zu pruefen;SCC;6 Monate / unverzueglich bei Widerspruch;DSFA-Pruefung empfohlen, Opt-out-Mechanismus
12;Lead-Management (Kundengewinnung);II. Active Sourcing und Vertrieb;Neukundengewinnung, Vertrieb;Ansprechpartner pot. Kunden;Kontakt-, Unternehmensdaten, Kommunikation;Art. 6 Abs. 1 lit. f DSGVO;Interne Vertriebsmitarbeiter;Hunter CRM, LinkedIn, Compleady;USA (LinkedIn);SCC, DPF;12 Monate bei fehlender Geschaeftsbeziehung;Zugriffsbeschraenkung
13;Vertragsmanagement (Kunden);III. Kundenmanagement;Vermittlungsvertraege verwalten;Kundenansprechpartner;Vertrags-, Kontaktdaten, Unterschriften;Art. 6 Abs. 1 lit. b DSGVO;Kundenunternehmen, Steuerberater;Hunter CRM, Microsoft 365;USA (M365);DPF, SCC;10 Jahre (HGB/AO);Verschluesselung, Archivierung
14;Projektmanagement (Mandate);III. Kundenmanagement;Steuerung Recruiting-Mandate;Kandidaten, Kunden, interne MA;Projektstatus, Zuordnung, Feedback;Art. 6 Abs. 1 lit. b DSGVO;Interne MA, Kunden;Hunter CRM, Microsoft Teams;USA (Teams);DPF, SCC;6 Mon. operativ / 10 J. Abrechnung;Projektbezogene Zugriffsbeschraenkung
15;Reporting an Kunden;III. Kundenmanagement;Statusberichte Projekte;Kandidaten (pseudonymisiert);Projektkennzahlen, Status;Art. 6 Abs. 1 lit. b DSGVO;Kundenunternehmen;Hunter CRM, Microsoft 365;Nur bei internationalen Kunden;SCC bei Bedarf;10 Jahre;Pseudonymisierung, verschluesselte Uebertragung
16;Rechnungsstellung;IV. Administration;Abrechnung Vermittlungsleistungen;Kunden;Rechnungs-, Bankdaten, Vertragsdaten;Art. 6 Abs. 1 lit. b/c DSGVO;Kunden, Steuerberater, Bank;Windata, DATEV;Deutschland;Kein Drittlandtransfer;10 Jahre (HGB/AO);DATEV-Zugriffsschutz, Verschluesselung
17;Finanzbuchhaltung;IV. Administration;Steuerpflichten, Zahlungsabwicklung;Kunden, Lieferanten, MA;Zahlungs-, Steuerdaten, Belege;Art. 6 Abs. 1 lit. c DSGVO;Steuerberater, Finanzbehoerden;Windata, DATEV;Deutschland;Kein Drittlandtransfer;10 Jahre;DATEV-Zugriffsschutz, Vier-Augen-Prinzip
18;Interne Kommunikation;IV. Administration;Abstimmung, Aufgabenverwaltung;Interne MA, ggf. Kandidaten;Projekt-, Kandidateninfo, Aufgaben;Art. 6 Abs. 1 lit. f, § 26 BDSG;Interne MA;Microsoft Teams, Microsoft 365;USA (Teams/M365);DPF, SCC;Projektbezogen;Kanalbasierte Berechtigungen in Teams
19;Terminverwaltung;IV. Administration;Interviewkoordination;Bewerber, Kunden;Name, E-Mail, Telefon, Termine;Art. 6 Abs. 1 lit. b/f DSGVO;Interne MA;Microsoft Bookings, Outlook;USA (M365 Bookings);DPF, SCC;6 Monate nach Termin;Automatisierte Terminloeschung
20;Telefonkommunikation;IV. Administration;Telefonische Abstimmung;Bewerber, Kandidaten, Kunden;Telefonnr., Verbindungsdaten, Notizen;Art. 6 Abs. 1 lit. b/f DSGVO;Interne MA;Sipgate, Hunter CRM;Deutschland (Sipgate);Kein Drittlandtransfer;Verbindungsd.: 6 Mon.;Verschluesselte Telefonie
21;Stellenanzeigen;V. Marketing;Bewerbergewinnung;Ansprechpartner, Bewerber;Ansprechpartner-, Firmendaten;Art. 6 Abs. 1 lit. f DSGVO;Oeffentlichkeit, Plattformen;WordPress, Hunter Job-Center, LinkedIn, Xing;USA (LinkedIn);SCC, DPF;Nach Besetzung;Pruefung/Entfernung nach Besetzung
22;Social-Media-Marketing;V. Marketing;Reichweite, Employer Branding;Nutzer, ggf. MA;Profil-, Interaktionsdaten, ggf. Fotos;Art. 6 Abs. 1 lit. f, Einwilligung (Fotos);Plattformbetreiber;LinkedIn, Canva;USA (LinkedIn), Australien/USA (Canva);SCC;Bei Entfernung;Social-Media-Richtlinie, Admin-Beschraenkung
23;Newsletter;V. Marketing;Info ueber Positionen;Abonnenten;E-Mail, Einwilligung;Art. 6 Abs. 1 lit. a, § 7 UWG;Newsletter-Dienstleister;Ggf. separates Tool;Je nach Anbieter;Zu pruefen;Bei Abmeldung;Double-Opt-in
24;Website-Betrieb und Tracking;V. Marketing;IT-Sicherheit, Analyse;Website-Besucher;IP, Logfiles, Cookies;Art. 6 Abs. 1 lit. f, § 25 TTDSG;Hosting-Provider;WordPress;Abhaengig vom Hosting;Zu pruefen;Logfiles: 7-14 Tage;Cookie-Consent-Banner, IP-Anonymisierung
25;KI: Stellenanzeigen erstellen;VI. KI-Systeme;Texterstellung/-optimierung;Keine (anonymisiert);Anonymisierte Texte;Art. 6 Abs. 1 lit. f DSGVO;OpenAI;ChatGPT;USA (OpenAI);DPF, SCC;n/a;KI-Richtlinie, Verbot pbD-Eingabe
26;KI: Profiloptimierung;VI. KI-Systeme;Sprachliche Aufbereitung;Bewerber (anonymisiert);Anonymisierte Profile;Art. 6 Abs. 1 lit. f DSGVO;OpenAI;ChatGPT;USA (OpenAI);DPF, SCC;n/a;Anonymisierungspflicht, Stichproben
27;KI: Nachrichtenerstellung;VI. KI-Systeme;Effizienz Anspracheprozesse;Pot. Kandidaten, Kunden;Anonymisierte Vorlagen;Art. 6 Abs. 1 lit. f DSGVO;OpenAI, Compleady;ChatGPT, Compleady;USA;SCC;Nach Verwendung;KI-Richtlinie
28;Mitarbeiterverwaltung;VII. Personal;Arbeitsverhaeltnisse;Eigene MA;Stamm-, Gehalts-, SV-Daten, Beurteilungen;§ 26 BDSG, Art. 6 Abs. 1 lit. b/c;Steuerberater, SV-Traeger;Windata, DATEV, Microsoft 365;Deutschland (DATEV);Kein Drittlandtransfer;Steuer: 10 J., Personalakte: 3 J.;Zugriffsbeschraenkung (nur GF)
29;Gehaltsabrechnung;VII. Personal;Lohnabrechnung;Eigene MA;Gehalt, StKl., SV-Nr., Bank, Steuer-ID;§ 26 BDSG, Art. 6 Abs. 1 lit. c;Steuerberater, SV-Traeger, Bank;DATEV, Windata;Deutschland;Kein Drittlandtransfer;10 Jahre;DATEV-Zugriffsschutz
30;IT-Account-Verwaltung;VII. Personal;Benutzerkonten, Zugriffskontrolle;Eigene MA;Benutzername, E-Mail, Berechtigungen;Art. 6 Abs. 1 lit. f, § 26 BDSG;IT-Dienstleister;Microsoft 365 Admin, Hunter CRM Admin;USA (M365);DPF, SCC;Bei Ausscheiden;2FA, Passwortrichtlinien
31;Betroffenenanfragen;VIII. Compliance;Auskunft/Loeschung/Widerspruch;Alle Betroffenen;ID-Nachweis, Antrag, Kommunikation;Art. 15-22, Art. 6 Abs. 1 lit. c;DSB, Betroffene;Outlook, Hunter CRM;USA (M365);DPF, SCC;3 Jahre;Authentifizierung, Fristenkontrolle
32;Einwilligungsdokumentation;VIII. Compliance;Nachweispflicht;Bewerber, Abonnenten, MA;Zeitpunkt, Inhalt, Widerruf;Art. 7 Abs. 1 DSGVO;DSB;Hunter CRM;Abhaengig von Hunter;Zu pruefen;3 Jahre nach Widerruf;Revisionssichere Speicherung
33;Datenschutzvorfall-Management;VIII. Compliance;Erkennung/Meldung Datenschutzverletzungen;Alle pot. Betroffenen;Vorfalldaten, Schaeden, Massnahmen;Art. 33/34, Art. 6 Abs. 1 lit. c;DSB, Aufsichtsbehoerde;Internes Register, Outlook;USA (M365);DPF, SCC;3 Jahre;Incident-Response, 72h-Frist
